solver,activation,H1,H2,PCA,class,Tr,Ts
lbfgs, tanh,15,15, on, class1,1,0.906818182
lbfgs, tanh,15,15, on, class2,1,0.688636364
lbfgs, tanh,15,15, on, class3,0.929384966,0.540909091
lbfgs, tanh,15,15, on, class4,0.828587699,0.429545455
lbfgs, tanh,15,15, off, class1,1,0.915909091
lbfgs, tanh,15,15, off, class2,0.998861048,0.747727273
lbfgs, tanh,15,15, off, class3,0.907744875,0.545454545
lbfgs, tanh,15,15, off, class4,0.824031891,0.388636364
lbfgs, tanh,25,15, on, class1,1,0.954545455
lbfgs, tanh,25,15, on, class2,1,0.738636364
lbfgs, tanh,25,15, on, class3,0.996583144,0.520454545
lbfgs, tanh,25,15, on, class4,0.977790433,0.402272727
lbfgs, tanh,25,15, off, class1,1,0.940909091
lbfgs, tanh,25,15, off, class2,1,0.747727273
lbfgs, tanh,25,15, off, class3,0.997722096,0.593181818
lbfgs, tanh,25,15, off, class4,0.988041002,0.447727273
lbfgs, tanh,30,15, on, class1,1,0.906818182
lbfgs, tanh,30,15, on, class2,1,0.754545455
lbfgs, tanh,30,15, on, class3,1,0.559090909
lbfgs, tanh,30,15, on, class4,0.997722096,0.427272727
lbfgs, tanh,30,15, off, class1,1,0.909090909
lbfgs, tanh,30,15, off, class2,1,0.765909091
lbfgs, tanh,30,15, off, class3,1,0.577272727
lbfgs, tanh,30,15, off, class4,0.993735763,0.409090909
lbfgs, tanh,40,15, on, class1,1,0.931818182
lbfgs, tanh,40,15, on, class2,1,0.731818182
lbfgs, tanh,40,15, on, class3,1,0.536363636
lbfgs, tanh,40,15, on, class4,0.999430524,0.420454545
lbfgs, tanh,40,15, off, class1,1,0.922727273
lbfgs, tanh,40,15, off, class2,1,0.752272727
lbfgs, tanh,40,15, off, class3,0.999430524,0.536363636
lbfgs, tanh,40,15, off, class4,0.998291572,0.420454545
lbfgs, relu,15,15, on, class1,1,0.895454545
lbfgs, relu,15,15, on, class2,1,0.720454545
lbfgs, relu,15,15, on, class3,0.857630979,0.563636364
lbfgs, relu,15,15, on, class4,0.754555809,0.477272727
lbfgs, relu,15,15, off, class1,1,0.915909091
lbfgs, relu,15,15, off, class2,1,0.743181818
lbfgs, relu,15,15, off, class3,0.86332574,0.590909091
lbfgs, relu,15,15, off, class4,0.755694761,0.511363636
lbfgs, relu,25,15, on, class1,1,0.929545455
lbfgs, relu,25,15, on, class2,1,0.770454545
lbfgs, relu,25,15, on, class3,1,0.620454545
lbfgs, relu,25,15, on, class4,0.925398633,0.443181818
lbfgs, relu,25,15, off, class1,1,0.918181818
lbfgs, relu,25,15, off, class2,1,0.713636364
lbfgs, relu,25,15, off, class3,1,0.552272727
lbfgs, relu,25,15, off, class4,0.957289294,0.465909091
lbfgs, relu,30,15, on, class1,1,0.909090909
lbfgs, relu,30,15, on, class2,1,0.761363636
lbfgs, relu,30,15, on, class3,1,0.584090909
lbfgs, relu,30,15, on, class4,1,0.465909091
lbfgs, relu,30,15, off, class1,1,0.897727273
lbfgs, relu,30,15, off, class2,0.998861048,0.763636364
lbfgs, relu,30,15, off, class3,1,0.572727273
lbfgs, relu,30,15, off, class4,0.999430524,0.481818182
lbfgs, relu,40,15, on, class1,1,0.934090909
lbfgs, relu,40,15, on, class2,1,0.765909091
lbfgs, relu,40,15, on, class3,1,0.568181818
lbfgs, relu,40,15, on, class4,1,0.468181818
lbfgs, relu,40,15, off, class1,1,0.902272727
lbfgs, relu,40,15, off, class2,1,0.779545455
lbfgs, relu,40,15, off, class3,1,0.584090909
lbfgs, relu,40,15, off, class4,1,0.470454545
sgd, tanh,15,15, on, class1,0.90546697,0.920454545
sgd, tanh,15,15, on, class2,0.878701595,0.754545455
sgd, tanh,15,15, on, class3,0.739749431,0.625
sgd, tanh,15,15, on, class4,0.634965831,0.504545455
sgd, tanh,15,15, off, class1,0.90261959,0.931818182
sgd, tanh,15,15, off, class2,0.849658314,0.790909091
sgd, tanh,15,15, off, class3,0.733485194,0.640909091
sgd, tanh,15,15, off, class4,0.642938497,0.515909091
sgd, tanh,25,15, on, class1,0.911161731,0.895454545
sgd, tanh,25,15, on, class2,0.896924829,0.804545455
sgd, tanh,25,15, on, class3,0.804669704,0.620454545
sgd, tanh,25,15, on, class4,0.743166287,0.554545455
sgd, tanh,25,15, off, class1,0.913439636,0.890909091
sgd, tanh,25,15, off, class2,0.898633257,0.768181818
sgd, tanh,25,15, off, class3,0.806378132,0.638636364
sgd, tanh,25,15, off, class4,0.732346241,0.586363636
sgd, tanh,30,15, on, class1,0.911161731,0.904545455
sgd, tanh,30,15, on, class2,0.897494305,0.811363636
sgd, tanh,30,15, on, class3,0.838268793,0.636363636
sgd, tanh,30,15, on, class4,0.752277904,0.525
sgd, tanh,30,15, off, class1,0.908883827,0.904545455
sgd, tanh,30,15, off, class2,0.907744875,0.795454545
sgd, tanh,30,15, off, class3,0.835990888,0.638636364
sgd, tanh,30,15, off, class4,0.757972665,0.493181818
sgd, tanh,40,15, on, class1,0.904897494,0.925
sgd, tanh,40,15, on, class2,0.901480638,0.775
sgd, tanh,40,15, on, class3,0.875854214,0.647727273
sgd, tanh,40,15, on, class4,0.812642369,0.515909091
sgd, tanh,40,15, off, class1,0.912870159,0.893181818
sgd, tanh,40,15, off, class2,0.894077449,0.813636364
sgd, tanh,40,15, off, class3,0.875854214,0.620454545
sgd, tanh,40,15, off, class4,0.836560364,0.606818182
sgd, relu,15,15, on, class1,0.912870159,0.893181818
sgd, relu,15,15, on, class2,0.841685649,0.781818182
sgd, relu,15,15, on, class3,0.738041002,0.584090909
sgd, relu,15,15, on, class4,0.653189066,0.495454545
sgd, relu,15,15, off, class1,0.906605923,0.918181818
sgd, relu,15,15, off, class2,0.83428246,0.743181818
sgd, relu,15,15, off, class3,0.727790433,0.647727273
sgd, relu,15,15, off, class4,0.625284738,0.502272727
sgd, relu,25,15, on, class1,0.908883827,0.918181818
sgd, relu,25,15, on, class2,0.916856492,0.784090909
sgd, relu,25,15, on, class3,0.817198178,0.625
sgd, relu,25,15, on, class4,0.741457859,0.543181818
sgd, relu,25,15, off, class1,0.927107062,0.888636364
sgd, relu,25,15, off, class2,0.917425968,0.779545455
sgd, relu,25,15, off, class3,0.817767654,0.613636364
sgd, relu,25,15, off, class4,0.706719818,0.520454545
sgd, relu,30,15, on, class1,0.914009112,0.918181818
sgd, relu,30,15, on, class2,0.920842825,0.793181818
sgd, relu,30,15, on, class3,0.836560364,0.638636364
sgd, relu,30,15, on, class4,0.75,0.522727273
sgd, relu,30,15, off, class1,0.932801822,0.913636364
sgd, relu,30,15, off, class2,0.911161731,0.761363636
sgd, relu,30,15, off, class3,0.84453303,0.647727273
sgd, relu,30,15, off, class4,0.770501139,0.509090909
sgd, relu,40,15, on, class1,0.931093394,0.925
sgd, relu,40,15, on, class2,0.940205011,0.772727273
sgd, relu,40,15, on, class3,0.858769932,0.645454545
sgd, relu,40,15, on, class4,0.821753986,0.565909091
sgd, relu,40,15, off, class1,0.937927107,0.920454545
sgd, relu,40,15, off, class2,0.933940774,0.747727273
sgd, relu,40,15, off, class3,0.879271071,0.629545455
sgd, relu,40,15, off, class4,0.820045558,0.577272727
adam, tanh,15,15, on, class1,0.976082005,0.920454545
adam, tanh,15,15, on, class2,0.910022779,0.781818182
adam, tanh,15,15, on, class3,0.787585421,0.597727273
adam, tanh,15,15, on, class4,0.753416856,0.465909091
adam, tanh,15,15, off, class1,0.965261959,0.927272727
adam, tanh,15,15, off, class2,0.945899772,0.761363636
adam, tanh,15,15, off, class3,0.840546697,0.627272727
adam, tanh,15,15, off, class4,0.73405467,0.540909091
adam, tanh,25,15, on, class1,0.974943052,0.938636364
adam, tanh,25,15, on, class2,0.960136674,0.781818182
adam, tanh,25,15, on, class3,0.875854214,0.631818182
adam, tanh,25,15, on, class4,0.861047836,0.484090909
adam, tanh,25,15, off, class1,0.973234624,0.927272727
adam, tanh,25,15, off, class2,0.965261959,0.772727273
adam, tanh,25,15, off, class3,0.898633257,0.613636364
adam, tanh,25,15, off, class4,0.820615034,0.506818182
adam, tanh,30,15, on, class1,0.979498861,0.918181818
adam, tanh,30,15, on, class2,0.939635535,0.8
adam, tanh,30,15, on, class3,0.904897494,0.636363636
adam, tanh,30,15, on, class4,0.903758542,0.531818182
adam, tanh,30,15, off, class1,0.984624146,0.915909091
adam, tanh,30,15, off, class2,0.958997722,0.777272727
adam, tanh,30,15, off, class3,0.887243736,0.611363636
adam, tanh,30,15, off, class4,0.88952164,0.536363636
adam, tanh,40,15, on, class1,0.981207289,0.945454545
adam, tanh,40,15, on, class2,0.958997722,0.772727273
adam, tanh,40,15, on, class3,0.927676538,0.659090909
adam, tanh,40,15, on, class4,0.943052392,0.515909091
adam, tanh,40,15, off, class1,0.977790433,0.938636364
adam, tanh,40,15, off, class2,0.974943052,0.815909091
adam, tanh,40,15, off, class3,0.940205011,0.631818182
adam, tanh,40,15, off, class4,0.940774487,0.531818182
adam, relu,15,15, on, class1,0.997722096,0.929545455
adam, relu,15,15, on, class2,0.929384966,0.775
adam, relu,15,15, on, class3,0.822323462,0.609090909
adam, relu,15,15, on, class4,0.695330296,0.463636364
adam, relu,15,15, off, class1,0.996013667,0.920454545
adam, relu,15,15, off, class2,0.938496583,0.713636364
adam, relu,15,15, off, class3,0.797266515,0.65
adam, relu,15,15, off, class4,0.708428246,0.545454545
adam, relu,25,15, on, class1,0.99715262,0.920454545
adam, relu,25,15, on, class2,0.973234624,0.765909091
adam, relu,25,15, on, class3,0.883257403,0.581818182
adam, relu,25,15, on, class4,0.783029613,0.522727273
adam, relu,25,15, off, class1,0.998291572,0.931818182
adam, relu,25,15, off, class2,0.957289294,0.790909091
adam, relu,25,15, off, class3,0.872437358,0.627272727
adam, relu,25,15, off, class4,0.824031891,0.484090909
adam, relu,30,15, on, class1,0.997722096,0.922727273
adam, relu,30,15, on, class2,0.989749431,0.752272727
adam, relu,30,15, on, class3,0.882687927,0.647727273
adam, relu,30,15, on, class4,0.857630979,0.522727273
adam, relu,30,15, off, class1,0.998861048,0.940909091
adam, relu,30,15, off, class2,0.988610478,0.752272727
adam, relu,30,15, off, class3,0.887243736,0.595454545
adam, relu,30,15, off, class4,0.836560364,0.588636364
adam, relu,40,15, on, class1,1,0.929545455
adam, relu,40,15, on, class2,0.981776765,0.752272727
adam, relu,40,15, on, class3,0.935649203,0.636363636
adam, relu,40,15, on, class4,0.931093394,0.552272727
adam, relu,40,15, off, class1,1,0.918181818
adam, relu,40,15, off, class2,0.990888383,0.804545455
adam, relu,40,15, off, class3,0.910592255,0.618181818
adam, relu,40,15, off, class4,0.878701595,0.565909091
lbfgs, tanh,15,25, on, class1,1,0.918181818
lbfgs, tanh,15,25, on, class2,1,0.738636364
lbfgs, tanh,15,25, on, class3,0.997722096,0.520454545
lbfgs, tanh,15,25, on, class4,0.934510251,0.438636364
lbfgs, tanh,15,25, off, class1,1,0.906818182
lbfgs, tanh,15,25, off, class2,0.998861048,0.740909091
lbfgs, tanh,15,25, off, class3,1,0.570454545
lbfgs, tanh,15,25, off, class4,0.980637813,0.411363636
lbfgs, tanh,25,25, on, class1,1,0.927272727
lbfgs, tanh,25,25, on, class2,1,0.727272727
lbfgs, tanh,25,25, on, class3,1,0.593181818
lbfgs, tanh,25,25, on, class4,1,0.470454545
lbfgs, tanh,25,25, off, class1,1,0.925
lbfgs, tanh,25,25, off, class2,1,0.759090909
lbfgs, tanh,25,25, off, class3,1,0.584090909
lbfgs, tanh,25,25, off, class4,1,0.420454545
lbfgs, tanh,30,25, on, class1,1,0.897727273
lbfgs, tanh,30,25, on, class2,1,0.75
lbfgs, tanh,30,25, on, class3,1,0.577272727
lbfgs, tanh,30,25, on, class4,1,0.452272727
lbfgs, tanh,30,25, off, class1,1,0.929545455
lbfgs, tanh,30,25, off, class2,1,0.759090909
lbfgs, tanh,30,25, off, class3,1,0.593181818
lbfgs, tanh,30,25, off, class4,1,0.434090909
lbfgs, tanh,40,25, on, class1,1,0.929545455
lbfgs, tanh,40,25, on, class2,1,0.743181818
lbfgs, tanh,40,25, on, class3,1,0.584090909
lbfgs, tanh,40,25, on, class4,1,0.468181818
lbfgs, tanh,40,25, off, class1,1,0.922727273
lbfgs, tanh,40,25, off, class2,1,0.777272727
lbfgs, tanh,40,25, off, class3,1,0.575
lbfgs, tanh,40,25, off, class4,1,0.479545455
lbfgs, relu,15,25, on, class1,1,0.906818182
lbfgs, relu,15,25, on, class2,1,0.740909091
lbfgs, relu,15,25, on, class3,0.97095672,0.552272727
lbfgs, relu,15,25, on, class4,0.899202733,0.486363636
lbfgs, relu,15,25, off, class1,1,0.927272727
lbfgs, relu,15,25, off, class2,1,0.727272727
lbfgs, relu,15,25, off, class3,0.952733485,0.590909091
lbfgs, relu,15,25, off, class4,0.878132118,0.504545455
lbfgs, relu,25,25, on, class1,1,0.904545455
lbfgs, relu,25,25, on, class2,1,0.711363636
lbfgs, relu,25,25, on, class3,1,0.602272727
lbfgs, relu,25,25, on, class4,1,0.488636364
lbfgs, relu,25,25, off, class1,1,0.911363636
lbfgs, relu,25,25, off, class2,1,0.747727273
lbfgs, relu,25,25, off, class3,1,0.606818182
lbfgs, relu,25,25, off, class4,1,0.509090909
lbfgs, relu,30,25, on, class1,1,0.927272727
lbfgs, relu,30,25, on, class2,1,0.738636364
lbfgs, relu,30,25, on, class3,1,0.622727273
lbfgs, relu,30,25, on, class4,1,0.543181818
lbfgs, relu,30,25, off, class1,1,0.911363636
lbfgs, relu,30,25, off, class2,1,0.772727273
lbfgs, relu,30,25, off, class3,1,0.677272727
lbfgs, relu,30,25, off, class4,1,0.488636364
lbfgs, relu,40,25, on, class1,1,0.895454545
lbfgs, relu,40,25, on, class2,1,0.765909091
lbfgs, relu,40,25, on, class3,1,0.586363636
lbfgs, relu,40,25, on, class4,1,0.520454545
lbfgs, relu,40,25, off, class1,1,0.931818182
lbfgs, relu,40,25, off, class2,1,0.734090909
lbfgs, relu,40,25, off, class3,1,0.638636364
lbfgs, relu,40,25, off, class4,1,0.543181818
sgd, tanh,15,25, on, class1,0.910592255,0.902272727
sgd, tanh,15,25, on, class2,0.865603645,0.761363636
sgd, tanh,15,25, on, class3,0.738041002,0.636363636
sgd, tanh,15,25, on, class4,0.640091116,0.520454545
sgd, tanh,15,25, off, class1,0.910022779,0.904545455
sgd, tanh,15,25, off, class2,0.859908884,0.720454545
sgd, tanh,15,25, off, class3,0.778473804,0.604545455
sgd, tanh,15,25, off, class4,0.683371298,0.5
sgd, tanh,25,25, on, class1,0.912300683,0.895454545
sgd, tanh,25,25, on, class2,0.916287016,0.75
sgd, tanh,25,25, on, class3,0.847949886,0.677272727
sgd, tanh,25,25, on, class4,0.788154897,0.588636364
sgd, tanh,25,25, off, class1,0.909453303,0.906818182
sgd, tanh,25,25, off, class2,0.88952164,0.797727273
sgd, tanh,25,25, off, class3,0.820045558,0.656818182
sgd, tanh,25,25, off, class4,0.800113895,0.520454545
sgd, tanh,30,25, on, class1,0.904897494,0.918181818
sgd, tanh,30,25, on, class2,0.898063781,0.815909091
sgd, tanh,30,25, on, class3,0.85022779,0.590909091
sgd, tanh,30,25, on, class4,0.808656036,0.554545455
sgd, tanh,30,25, off, class1,0.915148064,0.918181818
sgd, tanh,30,25, off, class2,0.896924829,0.786363636
sgd, tanh,30,25, off, class3,0.850797267,0.656818182
sgd, tanh,30,25, off, class4,0.796127563,0.518181818
sgd, tanh,40,25, on, class1,0.914578588,0.895454545
sgd, tanh,40,25, on, class2,0.913439636,0.806818182
sgd, tanh,40,25, on, class3,0.887813212,0.656818182
sgd, tanh,40,25, on, class4,0.821753986,0.570454545
sgd, tanh,40,25, off, class1,0.912300683,0.895454545
sgd, tanh,40,25, off, class2,0.912300683,0.793181818
sgd, tanh,40,25, off, class3,0.864464692,0.613636364
sgd, tanh,40,25, off, class4,0.862756264,0.593181818
sgd, relu,15,25, on, class1,0.911731207,0.897727273
sgd, relu,15,25, on, class2,0.859908884,0.784090909
sgd, relu,15,25, on, class3,0.753986333,0.634090909
sgd, relu,15,25, on, class4,0.697038724,0.527272727
sgd, relu,15,25, off, class1,0.910592255,0.902272727
sgd, relu,15,25, off, class2,0.845102506,0.740909091
sgd, relu,15,25, off, class3,0.735193622,0.636363636
sgd, relu,15,25, off, class4,0.725512528,0.511363636
sgd, relu,25,25, on, class1,0.910022779,0.904545455
sgd, relu,25,25, on, class2,0.919703872,0.779545455
sgd, relu,25,25, on, class3,0.837699317,0.693181818
sgd, relu,25,25, on, class4,0.787585421,0.55
sgd, relu,25,25, off, class1,0.916856492,0.922727273
sgd, relu,25,25, off, class2,0.911731207,0.788636364
sgd, relu,25,25, off, class3,0.838838269,0.654545455
sgd, relu,25,25, off, class4,0.778473804,0.536363636
sgd, relu,30,25, on, class1,0.935649203,0.934090909
sgd, relu,30,25, on, class2,0.933371298,0.797727273
sgd, relu,30,25, on, class3,0.835421412,0.645454545
sgd, relu,30,25, on, class4,0.798405467,0.529545455
sgd, relu,30,25, off, class1,0.941343964,0.927272727
sgd, relu,30,25, off, class2,0.899202733,0.779545455
sgd, relu,30,25, off, class3,0.839407745,0.654545455
sgd, relu,30,25, off, class4,0.829726651,0.506818182
sgd, relu,40,25, on, class1,0.932232346,0.931818182
sgd, relu,40,25, on, class2,0.942482916,0.756818182
sgd, relu,40,25, on, class3,0.857061503,0.640909091
sgd, relu,40,25, on, class4,0.866742597,0.536363636
sgd, relu,40,25, off, class1,0.920842825,0.913636364
sgd, relu,40,25, off, class2,0.937927107,0.752272727
sgd, relu,40,25, off, class3,0.881548975,0.65
sgd, relu,40,25, off, class4,0.858200456,0.543181818
adam, tanh,15,25, on, class1,0.990888383,0.918181818
adam, tanh,15,25, on, class2,0.958428246,0.765909091
adam, tanh,15,25, on, class3,0.88667426,0.634090909
adam, tanh,15,25, on, class4,0.830296128,0.509090909
adam, tanh,15,25, off, class1,0.976651481,0.890909091
adam, tanh,15,25, off, class2,0.939066059,0.768181818
adam, tanh,15,25, off, class3,0.894646925,0.604545455
adam, tanh,15,25, off, class4,0.843394077,0.484090909
adam, tanh,25,25, on, class1,0.985193622,0.909090909
adam, tanh,25,25, on, class2,0.953302961,0.777272727
adam, tanh,25,25, on, class3,0.943052392,0.640909091
adam, tanh,25,25, on, class4,0.963553531,0.511363636
adam, tanh,25,25, off, class1,0.977790433,0.947727273
adam, tanh,25,25, off, class2,0.974373576,0.802272727
adam, tanh,25,25, off, class3,0.980068337,0.609090909
adam, tanh,25,25, off, class4,0.958428246,0.436363636
adam, tanh,30,25, on, class1,0.978359909,0.922727273
adam, tanh,30,25, on, class2,0.964123007,0.779545455
adam, tanh,30,25, on, class3,0.971526196,0.659090909
adam, tanh,30,25, on, class4,0.941343964,0.515909091
adam, tanh,30,25, off, class1,0.984624146,0.913636364
adam, tanh,30,25, off, class2,0.986332574,0.784090909
adam, tanh,30,25, off, class3,0.953302961,0.668181818
adam, tanh,30,25, off, class4,0.976651481,0.531818182
adam, tanh,40,25, on, class1,0.994874715,0.909090909
adam, tanh,40,25, on, class2,0.979498861,0.784090909
adam, tanh,40,25, on, class3,0.985193622,0.615909091
adam, tanh,40,25, on, class4,0.98690205,0.536363636
adam, tanh,40,25, off, class1,0.989179954,0.929545455
adam, tanh,40,25, off, class2,0.989749431,0.770454545
adam, tanh,40,25, off, class3,0.965261959,0.647727273
adam, tanh,40,25, off, class4,0.993735763,0.520454545
adam, relu,15,25, on, class1,0.997722096,0.911363636
adam, relu,15,25, on, class2,0.940205011,0.779545455
adam, relu,15,25, on, class3,0.857061503,0.602272727
adam, relu,15,25, on, class4,0.758542141,0.509090909
adam, relu,15,25, off, class1,0.996013667,0.915909091
adam, relu,15,25, off, class2,0.924829157,0.772727273
adam, relu,15,25, off, class3,0.862186788,0.618181818
adam, relu,15,25, off, class4,0.738610478,0.504545455
adam, relu,25,25, on, class1,0.999430524,0.922727273
adam, relu,25,25, on, class2,0.980068337,0.772727273
adam, relu,25,25, on, class3,0.890091116,0.684090909
adam, relu,25,25, on, class4,0.915148064,0.511363636
adam, relu,25,25, off, class1,0.99715262,0.920454545
adam, relu,25,25, off, class2,0.968678815,0.770454545
adam, relu,25,25, off, class3,0.930523918,0.588636364
adam, relu,25,25, off, class4,0.884396355,0.547727273
adam, relu,30,25, on, class1,1,0.934090909
adam, relu,30,25, on, class2,0.993166287,0.777272727
adam, relu,30,25, on, class3,0.947038724,0.618181818
adam, relu,30,25, on, class4,0.898633257,0.586363636
adam, relu,30,25, off, class1,0.998861048,0.920454545
adam, relu,30,25, off, class2,0.971526196,0.752272727
adam, relu,30,25, off, class3,0.934510251,0.670454545
adam, relu,30,25, off, class4,0.87642369,0.522727273
adam, relu,40,25, on, class1,1,0.925
adam, relu,40,25, on, class2,0.98690205,0.784090909
adam, relu,40,25, on, class3,0.953302961,0.631818182
adam, relu,40,25, on, class4,0.92881549,0.518181818
adam, relu,40,25, off, class1,1,0.938636364
adam, relu,40,25, off, class2,0.985193622,0.781818182
adam, relu,40,25, off, class3,0.961845103,0.631818182
adam, relu,40,25, off, class4,0.924829157,0.561363636
lbfgs, tanh,15,30, on, class1,1,0.920454545
lbfgs, tanh,15,30, on, class2,1,0.722727273
lbfgs, tanh,15,30, on, class3,0.999430524,0.579545455
lbfgs, tanh,15,30, on, class4,0.995444191,0.447727273
lbfgs, tanh,15,30, off, class1,1,0.922727273
lbfgs, tanh,15,30, off, class2,1,0.729545455
lbfgs, tanh,15,30, off, class3,1,0.506818182
lbfgs, tanh,15,30, off, class4,1,0.429545455
lbfgs, tanh,25,30, on, class1,1,0.902272727
lbfgs, tanh,25,30, on, class2,1,0.747727273
lbfgs, tanh,25,30, on, class3,1,0.586363636
lbfgs, tanh,25,30, on, class4,1,0.470454545
lbfgs, tanh,25,30, off, class1,1,0.925
lbfgs, tanh,25,30, off, class2,1,0.729545455
lbfgs, tanh,25,30, off, class3,1,0.6
lbfgs, tanh,25,30, off, class4,1,0.461363636
lbfgs, tanh,30,30, on, class1,1,0.925
lbfgs, tanh,30,30, on, class2,1,0.795454545
lbfgs, tanh,30,30, on, class3,1,0.588636364
lbfgs, tanh,30,30, on, class4,1,0.425
lbfgs, tanh,30,30, off, class1,1,0.915909091
lbfgs, tanh,30,30, off, class2,1,0.706818182
lbfgs, tanh,30,30, off, class3,1,0.6
lbfgs, tanh,30,30, off, class4,1,0.454545455
lbfgs, tanh,40,30, on, class1,1,0.918181818
lbfgs, tanh,40,30, on, class2,1,0.775
lbfgs, tanh,40,30, on, class3,1,0.620454545
lbfgs, tanh,40,30, on, class4,1,0.490909091
lbfgs, tanh,40,30, off, class1,1,0.920454545
lbfgs, tanh,40,30, off, class2,1,0.75
lbfgs, tanh,40,30, off, class3,1,0.545454545
lbfgs, tanh,40,30, off, class4,1,0.479545455
lbfgs, relu,15,30, on, class1,1,0.920454545
lbfgs, relu,15,30, on, class2,1,0.772727273
lbfgs, relu,15,30, on, class3,1,0.579545455
lbfgs, relu,15,30, on, class4,0.960136674,0.479545455
lbfgs, relu,15,30, off, class1,1,0.884090909
lbfgs, relu,15,30, off, class2,1,0.752272727
lbfgs, relu,15,30, off, class3,0.980068337,0.581818182
lbfgs, relu,15,30, off, class4,0.958997722,0.486363636
lbfgs, relu,25,30, on, class1,1,0.911363636
lbfgs, relu,25,30, on, class2,1,0.768181818
lbfgs, relu,25,30, on, class3,1,0.593181818
lbfgs, relu,25,30, on, class4,1,0.513636364
lbfgs, relu,25,30, off, class1,1,0.927272727
lbfgs, relu,25,30, off, class2,1,0.8
lbfgs, relu,25,30, off, class3,1,0.611363636
lbfgs, relu,25,30, off, class4,1,0.506818182
lbfgs, relu,30,30, on, class1,1,0.927272727
lbfgs, relu,30,30, on, class2,1,0.770454545
lbfgs, relu,30,30, on, class3,1,0.584090909
lbfgs, relu,30,30, on, class4,1,0.479545455
lbfgs, relu,30,30, off, class1,1,0.904545455
lbfgs, relu,30,30, off, class2,1,0.779545455
lbfgs, relu,30,30, off, class3,1,0.615909091
lbfgs, relu,30,30, off, class4,1,0.540909091
lbfgs, relu,40,30, on, class1,1,0.943181818
lbfgs, relu,40,30, on, class2,1,0.795454545
lbfgs, relu,40,30, on, class3,1,0.595454545
lbfgs, relu,40,30, on, class4,1,0.529545455
lbfgs, relu,40,30, off, class1,1,0.927272727
lbfgs, relu,40,30, off, class2,1,0.747727273
lbfgs, relu,40,30, off, class3,1,0.606818182
lbfgs, relu,40,30, off, class4,1,0.495454545
sgd, tanh,15,30, on, class1,0.906605923,0.918181818
sgd, tanh,15,30, on, class2,0.866173121,0.768181818
sgd, tanh,15,30, on, class3,0.797835991,0.654545455
sgd, tanh,15,30, on, class4,0.707289294,0.520454545
sgd, tanh,15,30, off, class1,0.904897494,0.925
sgd, tanh,15,30, off, class2,0.861047836,0.761363636
sgd, tanh,15,30, off, class3,0.771640091,0.618181818
sgd, tanh,15,30, off, class4,0.710136674,0.540909091
sgd, tanh,25,30, on, class1,0.907744875,0.913636364
sgd, tanh,25,30, on, class2,0.888382688,0.772727273
sgd, tanh,25,30, on, class3,0.830865604,0.627272727
sgd, tanh,25,30, on, class4,0.791571754,0.529545455
sgd, tanh,25,30, off, class1,0.908883827,0.909090909
sgd, tanh,25,30, off, class2,0.894646925,0.775
sgd, tanh,25,30, off, class3,0.825740319,0.631818182
sgd, tanh,25,30, off, class4,0.809225513,0.522727273
sgd, tanh,30,30, on, class1,0.907744875,0.913636364
sgd, tanh,30,30, on, class2,0.913439636,0.759090909
sgd, tanh,30,30, on, class3,0.86047836,0.618181818
sgd, tanh,30,30, on, class4,0.825170843,0.563636364
sgd, tanh,30,30, off, class1,0.907744875,0.913636364
sgd, tanh,30,30, off, class2,0.926537585,0.797727273
sgd, tanh,30,30, off, class3,0.839977221,0.647727273
sgd, tanh,30,30, off, class4,0.838268793,0.565909091
sgd, tanh,40,30, on, class1,0.912870159,0.893181818
sgd, tanh,40,30, on, class2,0.910592255,0.779545455
sgd, tanh,40,30, on, class3,0.869020501,0.677272727
sgd, tanh,40,30, on, class4,0.879271071,0.525
sgd, tanh,40,30, off, class1,0.909453303,0.906818182
sgd, tanh,40,30, off, class2,0.921412301,0.781818182
sgd, tanh,40,30, off, class3,0.87357631,0.65
sgd, tanh,40,30, off, class4,0.87357631,0.543181818
sgd, relu,15,30, on, class1,0.904328018,0.927272727
